Rank	Word	Frequency	Frequency per million	Zipf value
129	doue	95	895.1455	5.9519
129	welet	95	895.1455	5.9519
130	sikour	94	885.7229	5.9473
130	tout	94	885.7229	5.9473
130	tud	94	885.7229	5.9473
131	daou	92	866.8777	5.938
132	int	88	829.1874	5.9187
132	ro	88	829.1874	5.9187
133	d'ober	87	819.7648	5.9137
134	a-raok	86	810.3422	5.9087
134	anv	86	810.3422	5.9087
134	betek	86	810.3422	5.9087
134	easy	86	810.3422	5.9087
134	klask	86	810.3422	5.9087
134	war-raok	86	810.3422	5.9087
135	'pezh	85	800.9196	5.9036
135	lec'h	85	800.9196	5.9036
136	d'am	84	791.4971	5.8984
136	kaset	84	791.4971	5.8984
137	fell	83	782.0745	5.8932
138	penn	82	772.6519	5.888
139	anezhi	81	763.2293	5.8827
139	lakaat	81	763.2293	5.8827
140	ac'hanomp	79	744.3841	5.8718
140	arabat	79	744.3841	5.8718
140	c'hast	79	744.3841	5.8718
140	mamm	79	744.3841	5.8718
140	marv	79	744.3841	5.8718
141	klevet	78	734.9616	5.8663
141	ouzhin	78	734.9616	5.8663
141	zoken	78	734.9616	5.8663
142	'oas	77	725.539	5.8607
142	c'hoari	77	725.539	5.8607
142	paouez	77	725.539	5.8607
142	peseurt	77	725.539	5.8607
143	'ri	76	716.1164	5.855
143	d'az	76	716.1164	5.855
143	n'out	76	716.1164	5.855
144	aon	74	697.2712	5.8434
145	atav	73	687.8486	5.8375
145	aze	73	687.8486	5.8375
145	dija	73	687.8486	5.8375
145	eil	73	687.8486	5.8375
145	kas	73	687.8486	5.8375
146	dud	72	678.4261	5.8315
147	'toa	71	669.0035	5.8254
147	aotrou	71	669.0035	5.8254
147	stourm	71	669.0035	5.8254
148	peus	70	659.5809	5.8193
148	sot	70	659.5809	5.8193
148	soudarded	70	659.5809	5.8193
149	abaoe	69	650.1583	5.813
149	banne	69	650.1583	5.813
149	brav	69	650.1583	5.813
149	c'hoarvezet	69	650.1583	5.813
149	goude	69	650.1583	5.813
149	kabiten	69	650.1583	5.813
149	lakaet	69	650.1583	5.813
149	salud	69	650.1583	5.813
150	brezel	68	640.7357	5.8067
150	c'hwi	68	640.7357	5.8067
150	dreist	68	640.7357	5.8067
