Rank	Word	Frequency	Frequency per million	Zipf value
160	ĉiu	278	627.5098	5.7976
161	donu	275	620.7381	5.7929
161	iras	275	620.7381	5.7929
162	kien	269	607.1947	5.7833
162	vidi	269	607.1947	5.7833
163	rapide	268	604.9375	5.7817
164	sian	267	602.6802	5.7801
165	iri	265	598.1658	5.7768
166	jaroj	262	591.3941	5.7719
167	ŝatas	260	586.8796	5.7685
168	patrino	259	584.6224	5.7669
169	havis	252	568.8218	5.755
170	venas	251	566.5646	5.7532
171	aliaj	248	559.7929	5.748
171	kontraŭ	248	559.7929	5.748
171	povus	248	559.7929	5.748
171	viajn	248	559.7929	5.748
172	niaj	244	550.764	5.741
173	tagon	243	548.5067	5.7392
173	tri	243	548.5067	5.7392
174	denove	242	546.2495	5.7374
174	parolas	242	546.2495	5.7374
175	volis	241	543.9923	5.7356
176	bela	237	534.9634	5.7283
177	kredas	232	523.6772	5.7191
178	ajn	231	521.42	5.7172
178	eblas	231	521.42	5.7172
178	sia	231	521.42	5.7172
179	tia	228	514.6483	5.7115
180	cxu	226	510.1338	5.7077
180	sinjorino	226	510.1338	5.7077
181	aŭskultu	225	507.8766	5.7058
182	cervo	224	505.6194	5.7038
182	faros	224	505.6194	5.7038
182	rajtas	224	505.6194	5.7038
182	ĝuste	224	505.6194	5.7038
183	kara	222	501.1049	5.6999
183	prenu	222	501.1049	5.6999
183	unua	222	501.1049	5.6999
184	sin	220	496.5905	5.696
185	sola	219	494.3332	5.694
186	arbaro	218	492.076	5.692
186	nek	218	492.076	5.692
186	sankta	218	492.076	5.692
187	restu	216	487.5615	5.688
188	ekzistas	215	485.3043	5.686
189	morgaŭ	214	483.0471	5.684
190	filo	213	480.7898	5.682
191	konas	212	478.5326	5.6799
191	ĉiujn	212	478.5326	5.6799
192	kune	211	476.2754	5.6779
193	opinias	209	471.7609	5.6737
193	tuta	209	471.7609	5.6737
194	iros	208	469.5037	5.6716
195	vidu	201	453.7031	5.6568
196	he	200	451.4459	5.6546
197	ĉesu	199	449.1886	5.6524
198	alian	197	444.6742	5.648
198	gravas	197	444.6742	5.648
199	timas	196	442.417	5.6458
200	ŝajnas	195	440.1597	5.6436
201	helpu	194	437.9025	5.6414
202	trovis	191	431.1308	5.6346
203	infanoj	190	428.8736	5.6323
203	nomo	190	428.8736	5.6323
204	sentas	187	422.1019	5.6254
205	afero	185	417.5874	5.6207
205	necesas	185	417.5874	5.6207
206	vivas	184	415.3302	5.6184
207	knabo	182	410.8157	5.6136
207	viro	182	410.8157	5.6136
208	inter	181	408.5585	5.6113
209	ekde	180	406.3013	5.6088
209	venos	180	406.3013	5.6088
210	iam	179	404.0441	5.6064
211	morto	177	399.5296	5.6015
212	tra	175	395.0151	5.5966
213	povis	174	392.7579	5.5941
213	preskaŭ	174	392.7579	5.5941
213	simple	174	392.7579	5.5941
214	amas	173	390.5007	5.5916
214	longe	173	390.5007	5.5916
214	paroli	173	390.5007	5.5916
215	mortis	172	388.2434	5.5891
215	povos	172	388.2434	5.5891
215	tiujn	172	388.2434	5.5891
215	vivon	172	388.2434	5.5891
216	tago	170	383.729	5.584
217	amiko	169	381.4718	5.5815
217	baldaŭ	169	381.4718	5.5815
217	pensis	169	381.4718	5.5815
218	devos	168	379.2145	5.5789
219	bedaŭras	167	376.9573	5.5763
219	hej	167	376.9573	5.5763
219	kompreneble	167	376.9573	5.5763
220	sub	166	374.7001	5.5737
221	fartas	165	372.4428	5.5711
221	frato	165	372.4428	5.5711
221	tutan	165	372.4428	5.5711
222	foriru	163	367.9284	5.5658
222	helpi	163	367.9284	5.5658
223	nian	162	365.6712	5.5631
224	domo	160	361.1567	5.5577
224	revenos	160	361.1567	5.5577
224	tero	160	361.1567	5.5577
225	edzino	159	358.8995	5.555
226	bonege	157	354.385	5.5495
227	haltu	156	352.1278	5.5467
228	antaŭe	155	349.8705	5.5439
228	iun	155	349.8705	5.5439
228	loko	155	349.8705	5.5439
228	unue	155	349.8705	5.5439
229	vera	154	347.6133	5.5411
230	atentu	153	345.3561	5.5383
231	reĝo	152	343.0989	5.5354
232	aŭdis	151	340.8416	5.5326
232	devus	151	340.8416	5.5326
232	milito	151	340.8416	5.5326
232	sciis	151	340.8416	5.5326
233	aspektas	150	338.5844	5.5297
234	deziras	149	336.3272	5.5268
235	kvazaŭ	148	334.0699	5.5238
236	aŭdas	147	331.8127	5.5209
236	knabino	147	331.8127	5.5209
237	laboro	146	329.5555	5.5179
238	amikoj	145	327.2983	5.5149
238	certas	145	327.2983	5.5149
238	mortos	145	327.2983	5.5149
238	tempon	145	327.2983	5.5149
238	virino	145	327.2983	5.5149
239	zorgu	144	325.041	5.5119
240	malfermu	142	320.5266	5.5059
240	sufiĉas	142	320.5266	5.5059
241	hejmen	141	318.2693	5.5028
241	kapo	141	318.2693	5.5028
241	memoras	141	318.2693	5.5028
241	ordo	141	318.2693	5.5028
242	fratino	140	316.0121	5.4997
242	nova	140	316.0121	5.4997
242	sufiĉe	140	316.0121	5.4997
242	ŝia	140	316.0121	5.4997
243	bonvole	137	309.2404	5.4903
243	mortigi	137	309.2404	5.4903
244	amo	135	304.726	5.4839
244	fino	135	304.726	5.4839
244	miajn	135	304.726	5.4839
245	komprenis	134	302.4687	5.4807
245	lando	134	302.4687	5.4807
246	kiujn	133	300.2115	5.4774
247	gvidanto	131	295.697	5.4708
248	iomete	130	293.4398	5.4675
248	moŝto	130	293.4398	5.4675
249	atendas	128	288.9254	5.4608
249	lian	128	288.9254	5.4608
250	ĵus	127	286.6681	5.4574
251	akvo	126	284.4109	5.4539
251	multaj	126	284.4109	5.4539
252	iris	122	275.382	5.4399
252	peppino	122	275.382	5.4399
253	kapablas	121	273.1248	5.4364
254	eboshi	120	270.8675	5.4328
254	manĝi	120	270.8675	5.4328
254	signifas	120	270.8675	5.4328
254	vojo	120	270.8675	5.4328
255	malbona	118	266.3531	5.4255
255	manĝu	118	266.3531	5.4255
256	monon	117	264.0958	5.4218
256	restos	117	264.0958	5.4218
257	scii	116	261.8386	5.418
257	verŝajne	116	261.8386	5.418
258	kvin	115	259.5814	5.4143
258	lasta	115	259.5814	5.4143
259	almenaŭ	114	257.3241	5.4105
259	malbone	114	257.3241	5.4105
259	mono	114	257.3241	5.4105
260	okuloj	113	255.0669	5.4067
260	tial	113	255.0669	5.4067
261	koro	112	252.8097	5.4028
261	pravas	112	252.8097	5.4028
261	æu	112	252.8097	5.4028
262	dek	111	250.5525	5.3989
262	finfine	111	250.5525	5.3989
262	forgesis	111	250.5525	5.3989
263	ashitaka	110	248.2952	5.395
263	barono	110	248.2952	5.395
263	damne	110	248.2952	5.395
263	malpli	110	248.2952	5.395
264	horo	109	246.038	5.391
264	niajn	109	246.038	5.391
264	nokton	109	246.038	5.391
264	parolu	109	246.038	5.391
264	restas	109	246.038	5.391
264	restis	109	246.038	5.391
264	viroj	109	246.038	5.391
265	foriri	107	241.5235	5.383
265	ilia	107	241.5235	5.383
266	grava	106	239.2663	5.3789
266	perdis	106	239.2663	5.3789
266	tagoj	106	239.2663	5.3789
267	mankas	105	237.0091	5.3748
267	okazos	105	237.0091	5.3748
267	pretas	105	237.0091	5.3748
268	morti	104	234.7519	5.3706
269	decidis	103	232.4946	5.3664
269	homojn	103	232.4946	5.3664
269	mortigos	103	232.4946	5.3664
269	resti	103	232.4946	5.3664
269	vivi	103	232.4946	5.3664
270	donis	102	230.2374	5.3622
271	apud	101	227.9802	5.3579
271	l'	101	227.9802	5.3579
271	liaj	101	227.9802	5.3579
271	petis	101	227.9802	5.3579
271	urbo	101	227.9802	5.3579
271	veni	101	227.9802	5.3579
272	devis	100	225.7229	5.3536
272	ku	100	225.7229	5.3536
273	ege	99	223.4657	5.3492
273	eniru	99	223.4657	5.3492
273	trovi	99	223.4657	5.3492
273	ĉielo	99	223.4657	5.3492
274	bonas	98	221.2085	5.3448
274	laboras	98	221.2085	5.3448
274	siajn	98	221.2085	5.3448
274	sidiĝu	98	221.2085	5.3448
275	alvenis	97	218.9512	5.3403
275	familio	97	218.9512	5.3403
275	iŝan	97	218.9512	5.3403
275	preni	97	218.9512	5.3403
276	pordon	96	216.694	5.3358
276	vidos	96	216.694	5.3358
277	diros	95	214.4368	5.3313
277	havi	95	214.4368	5.3313
277	lernejo	95	214.4368	5.3313
277	momenton	95	214.4368	5.3313
277	prenis	95	214.4368	5.3313
277	princino	95	214.4368	5.3313
278	filino	94	212.1796	5.3267
278	juna	94	212.1796	5.3267
278	silentu	94	212.1796	5.3267
278	tiaj	94	212.1796	5.3267
279	fakte	93	209.9223	5.3221
279	hejme	93	209.9223	5.3221
279	kelkaj	93	209.9223	5.3221
279	kvar	93	209.9223	5.3221
279	revenis	93	209.9223	5.3221
279	rigardas	93	209.9223	5.3221
279	temas	93	209.9223	5.3221
279	virinoj	93	209.9223	5.3221
280	jaro	92	207.6651	5.3174
280	nepre	92	207.6651	5.3174
280	s-ino	92	207.6651	5.3174
281	laboron	91	205.4079	5.3126
281	mortigis	91	205.4079	5.3126
281	same	91	205.4079	5.3126
281	sukcesis	91	205.4079	5.3126
281	traduko	91	205.4079	5.3126
282	aferoj	90	203.1506	5.3078
282	edzo	90	203.1506	5.3078
282	loĝas	90	203.1506	5.3078
282	milady	90	203.1506	5.3078
282	nomiĝas	90	203.1506	5.3078
282	okkoto	90	203.1506	5.3078
283	facile	89	200.8934	5.303
283	grandan	89	200.8934	5.303
283	havos	89	200.8934	5.303
283	infano	89	200.8934	5.303
283	kompreni	89	200.8934	5.303
283	krom	89	200.8934	5.303
283	lo	89	200.8934	5.303
283	serĉas	89	200.8934	5.303
283	ŝipo	89	200.8934	5.303
284	dua	88	198.6362	5.2981
284	kapitano	88	198.6362	5.2981
284	nokto	88	198.6362	5.2981
284	pablo	88	198.6362	5.2981
285	chico	87	196.379	5.2931
285	ekstere	87	196.379	5.2931
285	fajro	87	196.379	5.2931
285	iuj	87	196.379	5.2931
285	neniun	87	196.379	5.2931
285	provu	87	196.379	5.2931
285	rigardi	87	196.379	5.2931
285	tenu	87	196.379	5.2931
286	avinjo	86	194.1217	5.2881
286	donos	86	194.1217	5.2881
286	haŭl	86	194.1217	5.2881
286	homa	86	194.1217	5.2881
286	jarojn	86	194.1217	5.2881
286	malfrue	86	194.1217	5.2881
286	permesu	86	194.1217	5.2881
287	daŭre	85	191.8645	5.283
287	donas	85	191.8645	5.283
287	nederlanda	85	191.8645	5.283
287	problemo	85	191.8645	5.283
288	mak	84	189.6073	5.2779
288	planedo	84	189.6073	5.2779
288	vivu	84	189.6073	5.2779
288	æi	84	189.6073	5.2779
289	alportu	83	187.35	5.2727
289	kapon	83	187.35	5.2727
289	kuru	83	187.35	5.2727
289	stulta	83	187.35	5.2727
289	trovos	83	187.35	5.2727
289	ŝatus	83	187.35	5.2727
290	esperas	82	185.0928	5.2674
290	knaboj	82	185.0928	5.2674
290	novan	82	185.0928	5.2674
290	prenos	82	185.0928	5.2674
291	kamarado	81	182.8356	5.2621
292	eliru	80	180.5783	5.2567
292	funkcias	80	180.5783	5.2567
292	minutoj	80	180.5783	5.2567
292	parolis	80	180.5783	5.2567
292	sukcesos	80	180.5783	5.2567
292	trankviliĝu	80	180.5783	5.2567
293	fine	79	178.3211	5.2512
293	multajn	79	178.3211	5.2512
293	nomon	79	178.3211	5.2512
293	volus	79	178.3211	5.2512
294	diable	78	176.0639	5.2457
294	eta	78	176.0639	5.2457
294	labori	78	176.0639	5.2457
294	manĝas	78	176.0639	5.2457
294	momento	78	176.0639	5.2457
294	revenu	78	176.0639	5.2457
294	ĉirkaŭ	78	176.0639	5.2457
295	ambaŭ	77	173.8067	5.2401
295	billy	77	173.8067	5.2401
295	doloras	77	173.8067	5.2401
295	manoj	77	173.8067	5.2401
295	montru	77	173.8067	5.2401
295	reen	77	173.8067	5.2401
296	foriris	76	171.5494	5.2344
296	hejmo	76	171.5494	5.2344
296	lokon	76	171.5494	5.2344
296	onklo	76	171.5494	5.2344
296	suno	76	171.5494	5.2344
297	ludi	75	169.2922	5.2286
297	manojn	75	169.2922	5.2286
297	rapidu	75	169.2922	5.2286
297	trankvila	75	169.2922	5.2286
297	ĉiun	75	169.2922	5.2286
298	belega	74	167.035	5.2228
298	estro	74	167.035	5.2228
298	gepatroj	74	167.035	5.2228
298	iliaj	74	167.035	5.2228
298	libera	74	167.035	5.2228
298	lupo	74	167.035	5.2228
298	tano	74	167.035	5.2228
298	vesperon	74	167.035	5.2228
299	aliajn	73	164.7777	5.2169
299	eniri	73	164.7777	5.2169
299	forgesu	73	164.7777	5.2169
299	korpo	73	164.7777	5.2169
299	muziko	73	164.7777	5.2169
299	pordo	73	164.7777	5.2169
299	sama	73	164.7777	5.2169
299	sango	73	164.7777	5.2169
299	supre	73	164.7777	5.2169
300	demandi	72	162.5205	5.2109
300	foje	72	162.5205	5.2109
300	ideo	72	162.5205	5.2109
300	okulojn	72	162.5205	5.2109
300	pardonon	72	162.5205	5.2109
301	adiaŭ	71	160.2633	5.2048
301	akvon	71	160.2633	5.2048
301	konservu	71	160.2633	5.2048
301	pastro	71	160.2633	5.2048
301	ricevis	71	160.2633	5.2048
301	supren	71	160.2633	5.2048
301	vojon	71	160.2633	5.2048
302	eliri	70	158.0061	5.1987
302	feliĉa	70	158.0061	5.1987
302	frue	70	158.0061	5.1987
302	hieraŭ	70	158.0061	5.1987
302	ironworks	70	158.0061	5.1987
302	mej	70	158.0061	5.1987
302	prefere	70	158.0061	5.1987
302	si	70	158.0061	5.1987
302	sofi	70	158.0061	5.1987
302	stultulo	70	158.0061	5.1987
303	atingi	69	155.7488	5.1924
303	aŭdi	69	155.7488	5.1924
303	celas	69	155.7488	5.1924
303	doni	69	155.7488	5.1924
303	intencas	69	155.7488	5.1924
303	metu	69	155.7488	5.1924
304	daŭrigu	68	153.4916	5.1861
304	falis	68	153.4916	5.1861
304	helpos	68	153.4916	5.1861
304	idioto	68	153.4916	5.1861
304	matenon	68	153.4916	5.1861
304	skribis	68	153.4916	5.1861
305	alportis	67	151.2344	5.1797
305	alvenas	67	151.2344	5.1797
305	fantoci	67	151.2344	5.1797
305	flugi	67	151.2344	5.1797
305	kelkajn	67	151.2344	5.1797
305	libro	67	151.2344	5.1797
305	macario	67	151.2344	5.1797
305	ĝojas	67	151.2344	5.1797
306	forta	66	148.9771	5.1731
306	lasis	66	148.9771	5.1731
306	malaperis	66	148.9771	5.1731
