Rank	Word	Frequency	Frequency per million	Zipf value
156	होता	665	848.0542	5.9284
157	लिया	648	826.3746	5.9172
158	माँ	642	818.723	5.9131
159	रात	638	813.6219	5.9104
160	मार	637	812.3466	5.9097
161	तुमने	624	795.7681	5.9008
162	आया	620	790.6671	5.898
163	नाम	616	785.566	5.8952
164	याद	612	780.4649	5.8924
165	केवल	609	776.6391	5.8902
166	सबसे	607	774.0886	5.8888
167	शायद	602	767.7122	5.8852
168	गए	597	761.3359	5.8816
168	साल	597	761.3359	5.8816
169	जानता	596	760.0606	5.8808
170	कारण	592	754.9595	5.8779
171	दूर	590	752.409	5.8765
172	हमेशा	587	748.5832	5.8742
173	हे	572	729.4541	5.863
174	हुए	571	728.1789	5.8622
175	होने	567	723.0778	5.8592
176	मिला	562	716.7014	5.8553
177	वास्तव	560	714.1509	5.8538
178	उसकी	557	710.3251	5.8515
179	जगह	556	709.0498	5.8507
180	शुरू	551	702.6735	5.8468
181	चला	550	701.3982	5.846
182	कम	549	700.1229	5.8452
182	कोशिश	549	700.1229	5.8452
182	भाई	549	700.1229	5.8452
183	लग	546	696.2971	5.8428
184	सच	544	693.7466	5.8412
185	पसंद	543	692.4713	5.8404
185	मर	543	692.4713	5.8404
186	इन	531	677.1681	5.8307
186	तुम्हारी	531	677.1681	5.8307
187	अच्छी	528	673.3423	5.8282
188	यहां	526	670.7917	5.8266
189	फोन	520	663.1401	5.8216
190	कहते	516	658.039	5.8183
191	दोस्त	515	656.7638	5.8174
192	शादी	512	652.938	5.8149
193	दुनिया	505	644.0111	5.8089
194	रुको	501	638.91	5.8054
195	होना	497	633.8089	5.802
196	कह	487	621.0562	5.7931
197	इसके	483	615.9552	5.7895
198	तुम्हारा	480	612.1293	5.7868
199	उन	478	609.5788	5.785
200	लो	469	598.1014	5.7768
201	तैयार	459	585.3487	5.7674
202	बच्चे	455	580.2476	5.7636
203	उनके	449	572.596	5.7578
204	अंदर	448	571.3207	5.7569
205	यदि	443	564.9444	5.752
206	जल्दी	441	562.3938	5.75
207	जैसे	434	553.4669	5.7431
208	कल	430	548.3659	5.7391
209	इतना	426	543.2648	5.735
210	अपना	424	540.7143	5.733
211	देंगे	423	539.439	5.7319
212	श्री	421	536.8884	5.7299
213	ऊपर	418	533.0626	5.7268
213	पिताजी	418	533.0626	5.7268
214	रहो	417	531.7874	5.7257
215	आपके	412	525.411	5.7205
215	हमारी	412	525.411	5.7205
216	खैर	411	524.1357	5.7194
217	खुद	410	522.8605	5.7184
218	उसने	408	520.3099	5.7163
219	hé	402	512.6583	5.7098
220	गई	400	510.1078	5.7077
221	बताओ	398	507.5572	5.7055
222	चलते	396	505.0067	5.7033
223	दी	390	497.3551	5.6967
224	वाले	386	492.254	5.6922
225	पीछे	384	489.7035	5.6899
226	हाथ	383	488.4282	5.6888
227	द्वारा	380	484.6024	5.6854
227	बेहतर	380	484.6024	5.6854
228	बकवास	376	479.5013	5.6808
229	मिलता	375	478.226	5.6796
230	लड़की	371	473.125	5.675
231	विश्वास	370	471.8497	5.6738
232	देखने	366	466.7486	5.6691
233	कार	360	459.097	5.6619
234	लगा	359	457.8217	5.6607
235	पूरी	354	451.4454	5.6546
235	मुझसे	354	451.4454	5.6546
236	उसका	353	450.1701	5.6534
237	महिला	348	443.7938	5.6472
238	चल	344	438.6927	5.6422
239	आपका	342	436.1422	5.6396
239	समझ	342	436.1422	5.6396
240	तुमसे	340	433.5916	5.6371
240	मिनट	340	433.5916	5.6371
241	ओर	337	429.7658	5.6332
242	बिना	336	428.4905	5.6319
243	ना	335	427.2153	5.6306
244	तीन	332	423.3895	5.6267
245	होगी	331	422.1142	5.6254
246	बता	329	419.5637	5.6228
246	सुनो	329	419.5637	5.6228
247	देना	324	413.1873	5.6161
247	पैसे	324	413.1873	5.6161
248	जैक	319	406.811	5.6094
249	कहना	316	402.9852	5.6053
250	जाते	315	401.7099	5.6039
251	बना	314	400.4346	5.6025
252	सोचा	313	399.1593	5.6011
253	हां	312	397.8841	5.5998
254	आगे	311	396.6088	5.5984
255	कहीं	310	395.3335	5.597
255	दोनों	310	395.3335	5.597
256	खो	307	391.5077	5.5927
257	परिवार	304	387.6819	5.5885
258	जहां	302	385.1314	5.5856
258	पुरुष	302	385.1314	5.5856
259	ke	301	383.8561	5.5842
260	दिल	300	382.5808	5.5827
260	बेटा	300	382.5808	5.5827
261	सुना	299	381.3056	5.5813
262	लेने	298	380.0303	5.5798
263	गलत	297	378.755	5.5784
264	ज्यादा	295	376.2045	5.5754
264	पुलिस	295	376.2045	5.5754
265	चले	294	374.9292	5.5739
266	पागल	293	373.654	5.5725
267	सकती	292	372.3787	5.571
268	यकीन	291	371.1034	5.5695
269	बुरा	288	367.2776	5.565
270	डर	286	364.7271	5.562
271	चाहती	282	359.626	5.5559
272	आता	280	357.0755	5.5528
272	महसूस	280	357.0755	5.5528
273	इसलिए	276	351.9744	5.5465
273	लड़का	276	351.9744	5.5465
274	आने	275	350.6991	5.5449
274	खत्म	275	350.6991	5.5449
275	उह	271	345.598	5.5386
275	बोल	271	345.598	5.5386
276	सुंदर	269	343.0475	5.5354
277	आपकी	268	341.7722	5.5337
278	छोटे	267	340.4969	5.5321
279	बताया	264	336.6711	5.5272
279	समस्या	264	336.6711	5.5272
279	हुई	264	336.6711	5.5272
280	दूसरे	263	335.3959	5.5256
281	भूल	262	334.1206	5.5239
281	महोदय	262	334.1206	5.5239
282	कमबख्त	261	332.8453	5.5222
282	तब	261	332.8453	5.5222
282	बड़ा	261	332.8453	5.5222
282	बीच	261	332.8453	5.5222
282	बेटी	261	332.8453	5.5222
283	saru	260	331.5701	5.5206
284	माफ	259	330.2948	5.5189
285	रहने	258	329.0195	5.5172
286	काफी	257	327.7443	5.5155
287	पूरा	256	326.469	5.5138
287	माफी	256	326.469	5.5138
288	ध्यान	252	321.3679	5.507
288	सिर	252	321.3679	5.507
289	देने	249	317.5421	5.5018
289	बदल	249	317.5421	5.5018
289	बिल्कुल	249	317.5421	5.5018
289	बेटे	249	317.5421	5.5018
290	आग	248	316.2668	5.5001
290	बच्चों	248	316.2668	5.5001
291	आह	247	314.9916	5.4983
292	देर	245	312.441	5.4948
292	शहर	245	312.441	5.4948
293	कहां	243	309.8905	5.4912
293	डाल	243	309.8905	5.4912
294	सोच	240	306.0647	5.4858
295	पानी	239	304.7894	5.484
296	सुरक्षित	237	302.2389	5.4804
297	देखते	236	300.9636	5.4785
298	कई	235	299.6883	5.4767
298	खेल	235	299.6883	5.4767
298	मुझ	235	299.6883	5.4767
298	वाह	235	299.6883	5.4767
299	पत्नी	234	298.4131	5.4748
299	भुगतान	234	298.4131	5.4748
299	रखना	234	298.4131	5.4748
300	माध्यम	232	295.8625	5.4711
301	चिंता	230	293.312	5.4673
302	अच्छे	229	292.0367	5.4654
302	आते	229	292.0367	5.4654
302	रहना	229	292.0367	5.4654
303	गोली	228	290.7614	5.4635
303	देता	228	290.7614	5.4635
303	पहली	228	290.7614	5.4635
304	उससे	227	289.4862	5.4616
304	मारने	227	289.4862	5.4616
304	यार	227	289.4862	5.4616
305	बनाने	226	288.2109	5.4597
306	देखना	225	286.9356	5.4578
307	इसका	224	285.6604	5.4559
307	इससे	224	285.6604	5.4559
308	गिर	220	280.5593	5.448
309	पिछले	219	279.284	5.446
310	अन्य	218	278.0087	5.4441
310	मारा	218	278.0087	5.4441
311	वादा	216	275.4582	5.4401
312	वहां	215	274.1829	5.438
313	कितना	214	272.9077	5.436
313	रहते	214	272.9077	5.436
313	लड़के	214	272.9077	5.436
313	हैलो	214	272.9077	5.436
314	इंतजार	211	269.0819	5.4299
314	पार्टी	211	269.0819	5.4299
315	अंत	210	267.8066	5.4278
316	उनकी	209	266.5313	5.4257
316	करती	209	266.5313	5.4257
316	सुबह	209	266.5313	5.4257
317	क्षमा	208	265.256	5.4237
317	प्राप्त	208	265.256	5.4237
317	महान	208	265.256	5.4237
318	विचार	207	263.9808	5.4216
319	थोड़ा	206	262.7055	5.4195
319	राजा	206	262.7055	5.4195
320	áp	205	261.4302	5.4174
320	आए	205	261.4302	5.4174
320	औरत	205	261.4302	5.4174
320	करेगा	205	261.4302	5.4174
320	नए	205	261.4302	5.4174
320	योजना	205	261.4302	5.4174
321	सम्मान	204	260.155	5.4152
322	खुश	203	258.8797	5.4131
322	रास्ते	203	258.8797	5.4131
323	दोस्तों	200	255.0539	5.4066
323	पूरे	200	255.0539	5.4066
324	méṇ	199	253.7786	5.4045
325	डाला	197	251.2281	5.4001
325	रखो	197	251.2281	5.4001
325	सुन	197	251.2281	5.4001
326	आदेश	196	249.9528	5.3979
327	आशा	195	248.6775	5.3956
327	इतनी	195	248.6775	5.3956
327	घंटे	195	248.6775	5.3956
328	héṇ	194	247.4023	5.3934
328	पुरुषों	194	247.4023	5.3934
329	चुप	193	246.127	5.3912
329	युद्ध	193	246.127	5.3912
330	अलग	192	244.8517	5.3889
330	उम्मीद	192	244.8517	5.3889
330	चुका	192	244.8517	5.3889
330	मुश्किल	192	244.8517	5.3889
330	रास्ता	192	244.8517	5.3889
330	हमारा	192	244.8517	5.3889
331	चोट	191	243.5765	5.3866
332	आराम	190	242.3012	5.3844
332	लड़ाई	190	242.3012	5.3844
333	खाना	189	241.0259	5.3821
333	पाने	189	241.0259	5.3821
334	जैसा	187	238.4754	5.3774
335	नरक	186	237.2001	5.3751
336	प्रिय	185	235.9249	5.3728
336	बंदूक	185	235.9249	5.3728
337	p	184	234.6496	5.3704
337	एम	184	234.6496	5.3704
337	शुक्रिया	184	234.6496	5.3704
338	उपयोग	183	233.3743	5.3681
338	पकड़	183	233.3743	5.3681
338	सुरक्षा	183	233.3743	5.3681
339	खुशी	182	232.099	5.3657
339	मौत	182	232.099	5.3657
340	देश	180	229.5485	5.3609
340	सवाल	180	229.5485	5.3609
341	वैसे	179	228.2732	5.3585
341	सामने	179	228.2732	5.3585
342	झूठ	178	226.998	5.356
342	शांत	178	226.998	5.356
343	जारी	177	225.7227	5.3536
343	पुराने	177	225.7227	5.3536
344	असली	176	224.4474	5.3511
344	खाने	176	224.4474	5.3511
344	मन	176	224.4474	5.3511
344	रखा	176	224.4474	5.3511
345	अमेरिका	174	221.8969	5.3462
345	आपने	174	221.8969	5.3462
345	एंडी	174	221.8969	5.3462
345	दें	174	221.8969	5.3462
346	परवाह	172	219.3463	5.3411
346	बड़ी	172	219.3463	5.3411
347	पर्याप्त	171	218.0711	5.3386
347	रखने	171	218.0711	5.3386
347	सा	171	218.0711	5.3386
348	बन	170	216.7958	5.3361
348	संगीत	170	216.7958	5.3361
348	सी	170	216.7958	5.3361
348	हाय	170	216.7958	5.3361
349	रह	169	215.5205	5.3335
350	कदम	168	214.2453	5.3309
350	महीने	168	214.2453	5.3309
351	पापा	166	211.6947	5.3257
352	बहन	164	209.1442	5.3204
352	होती	164	209.1442	5.3204
353	अगले	163	207.8689	5.3178
353	जंगल	163	207.8689	5.3178
353	नष्ट	163	207.8689	5.3178
353	पैसा	163	207.8689	5.3178
353	बच्चा	163	207.8689	5.3178
353	भाड़	163	207.8689	5.3178
354	जवाब	162	206.5937	5.3151
354	परेशान	162	206.5937	5.3151
354	भाग	162	206.5937	5.3151
354	रखें	162	206.5937	5.3151
355	lie	161	205.3184	5.3124
355	आसान	161	205.3184	5.3124
355	कैसा	161	205.3184	5.3124
355	खड़े	161	205.3184	5.3124
355	मूर्ख	161	205.3184	5.3124
356	चाचा	160	204.0431	5.3097
356	सेना	160	204.0431	5.3097
356	स्थिति	160	204.0431	5.3097
357	ऐसे	159	202.7678	5.307
357	लंबे	159	202.7678	5.307
357	व्यक्ति	159	202.7678	5.307
357	सारे	159	202.7678	5.307
358	छोटी	158	201.4926	5.3043
358	रहता	158	201.4926	5.3043
359	you	157	200.2173	5.3015
359	देते	157	200.2173	5.3015
360	नमस्ते	156	198.942	5.2987
360	बनाया	156	198.942	5.2987
360	स्वागत	156	198.942	5.2987
360	हमने	156	198.942	5.2987
361	अजीब	155	197.6668	5.2959
361	मालिक	155	197.6668	5.2959
362	अलविदा	154	196.3915	5.2931
362	इस्तेमाल	154	196.3915	5.2931
363	गलती	153	195.1162	5.2903
364	कॉल	152	193.841	5.2874
364	गंदगी	152	193.841	5.2874
364	तुलना	152	193.841	5.2874
364	बातें	152	193.841	5.2874
364	लेंगे	152	193.841	5.2874
365	जहाज	151	192.5657	5.2846
365	नौकरी	151	192.5657	5.2846
366	जेल	150	191.2904	5.2817
367	जीत	149	190.0152	5.2788
367	पृथ्वी	149	190.0152	5.2788
368	करीब	148	188.7399	5.2759
368	पति	148	188.7399	5.2759
368	मौका	148	188.7399	5.2759
368	हंसते	148	188.7399	5.2759
368	हिरण	148	188.7399	5.2759
369	छोटा	147	187.4646	5.2729
369	तुम्हे	147	187.4646	5.2729
369	भरोसा	147	187.4646	5.2729
369	राम	147	187.4646	5.2729
370	कहानी	146	186.1893	5.27
370	गयी	146	186.1893	5.27
370	हमला	146	186.1893	5.27
371	पाया	145	184.9141	5.267
372	अकेले	144	183.6388	5.264
372	इतने	144	183.6388	5.264
372	कहता	144	183.6388	5.264
372	बर्बाद	144	183.6388	5.264
372	मै	144	183.6388	5.264
372	रक्षा	144	183.6388	5.264
373	किस	143	182.3635	5.2609
373	चारों	143	182.3635	5.2609
373	मिलेगा	143	182.3635	5.2609
373	मिशन	143	182.3635	5.2609
374	nhíṇ	142	181.0883	5.2579
374	कंपनी	142	181.0883	5.2579
374	चार	142	181.0883	5.2579
374	जहाँ	142	181.0883	5.2579
374	जाएगी	142	181.0883	5.2579
374	तस्वीर	142	181.0883	5.2579
375	आती	141	179.813	5.2548
375	यात्रा	141	179.813	5.2548
376	महिलाओं	140	178.5377	5.2517
376	रोक	140	178.5377	5.2517
376	सामान	140	178.5377	5.2517
377	कब	139	177.2625	5.2486
377	कसम	139	177.2625	5.2486
377	जल्द	139	177.2625	5.2486
377	साफ	139	177.2625	5.2486
378	ek	138	175.9872	5.2455
378	पैदा	138	175.9872	5.2455
378	मानव	138	175.9872	5.2455
379	cooper	137	174.7119	5.2423
379	meṇ	137	174.7119	5.2423
379	nköö	137	174.7119	5.2423
379	कितने	137	174.7119	5.2423
379	नफरत	137	174.7119	5.2423
380	मां	136	173.4366	5.2391
381	अंतिम	135	172.1614	5.2359
381	इसकी	135	172.1614	5.2359
381	वजह	135	172.1614	5.2359
381	वाली	135	172.1614	5.2359
381	सप्ताह	135	172.1614	5.2359
381	हवा	135	172.1614	5.2359
381	िलए	135	172.1614	5.2359
382	इंतज़ार	134	170.8861	5.2327
382	नया	134	170.8861	5.2327
382	महत्वपूर्ण	134	170.8861	5.2327
382	सिकंदर	134	170.8861	5.2327
382	हांक	134	170.8861	5.2327
383	अकेला	133	169.6108	5.2295
383	जान	133	169.6108	5.2295
383	दरवाजा	133	169.6108	5.2295
383	निश्चित	133	169.6108	5.2295
383	पल	133	169.6108	5.2295
383	रख	133	169.6108	5.2295
383	लगभग	133	169.6108	5.2295
383	सारा	133	169.6108	5.2295
383	सो	133	169.6108	5.2295
384	तरफ	132	168.3356	5.2262
384	शब्द	132	168.3356	5.2262
384	शामिल	132	168.3356	5.2262
385	दिनों	131	167.0603	5.2229
385	लाने	131	167.0603	5.2229
386	खिलाफ	130	165.785	5.2195
386	जय	130	165.785	5.2195
386	जी	130	165.785	5.2195
386	बड़े	130	165.785	5.2195
386	मिलने	130	165.785	5.2195
386	ली	130	165.785	5.2195
386	स्कूल	130	165.785	5.2195
386	स्कॉट	130	165.785	5.2195
387	अस्पताल	129	164.5098	5.2162
387	करनी	129	164.5098	5.2162
387	कहने	129	164.5098	5.2162
387	टीम	129	164.5098	5.2162
387	तोड़	129	164.5098	5.2162
387	पांच	129	164.5098	5.2162
387	बेबी	129	164.5098	5.2162
388	क्षेत्र	127	161.9592	5.2094
388	पूछ	127	161.9592	5.2094
389	जाँच	126	160.684	5.206
389	जीवित	126	160.684	5.206
389	दर्द	126	160.684	5.206
389	वही	126	160.684	5.206
389	स्पष्ट	126	160.684	5.206
390	बेशक	125	159.4087	5.2025
390	भर	125	159.4087	5.2025
390	लगी	125	159.4087	5.2025
390	लाइन	125	159.4087	5.2025
391	खून	124	158.1334	5.199
391	डॉक्टर	124	158.1334	5.199
391	बताना	124	158.1334	5.199
391	यहीं	124	158.1334	5.199
392	इंदर	123	156.8581	5.1955
392	गधे	123	156.8581	5.1955
392	देखें	123	156.8581	5.1955
393	पार	122	155.5829	5.192
393	बचा	122	155.5829	5.192
393	बाकी	122	155.5829	5.192
393	ब्रायन	122	155.5829	5.192
393	मातृभाषा	122	155.5829	5.192
394	कितनी	121	154.3076	5.1884
394	गये	121	154.3076	5.1884
394	बताने	121	154.3076	5.1884
394	राष्ट्रपति	121	154.3076	5.1884
394	शॉन	121	154.3076	5.1884
395	खबर	120	153.0323	5.1848
395	चिल्ला	120	153.0323	5.1848
395	जाए	120	153.0323	5.1848
395	पालन	120	153.0323	5.1848
395	पीआर	120	153.0323	5.1848
395	मजाक	120	153.0323	5.1848
395	मरने	120	153.0323	5.1848
395	शरीर	120	153.0323	5.1848
395	समाप्त	120	153.0323	5.1848
395	होते	120	153.0323	5.1848
396	आश्चर्य	119	151.7571	5.1811
396	खाता	119	151.7571	5.1811
396	ज़रूरत	119	151.7571	5.1811
396	जानती	119	151.7571	5.1811
396	ट्रेवर	119	151.7571	5.1811
396	भेजा	119	151.7571	5.1811
396	हत्या	119	151.7571	5.1811
396	हिस्सा	119	151.7571	5.1811
397	सड़क	118	150.4818	5.1775
398	आना	117	149.2065	5.1738
398	उत्तर	117	149.2065	5.1738
398	देगा	117	149.2065	5.1738
398	बेवकूफ	117	149.2065	5.1738
