Rank	Word	Frequency	Frequency per million	Zipf value
141	დჲეთნთ	824	665.0074	5.8228
142	ნაოპაგთ	817	659.358	5.8191
143	ნათჟრთნა	807	651.2876	5.8138
144	მვნვ	800	645.6382	5.81
145	რჲდაგა	796	642.41	5.8078
146	ჳჲპა	793	639.9889	5.8062
147	კყმ	780	629.4973	5.799
148	მნჲდს	775	625.462	5.7962
149	რპვბა	769	620.6197	5.7928
150	ზვნა	768	619.8127	5.7923
151	კაზთ	760	613.3563	5.7877
152	ბწჳ	750	605.2858	5.782
153	ბთლ	741	598.0224	5.7767
154	ჟყჟ	739	596.4083	5.7755
155	პაჱბთპა	728	587.5308	5.769
156	ოპაგთ	723	583.4955	5.766
157	ბყევ	713	575.4251	5.76
158	ჲგევ	712	574.618	5.7594
159	ოპვე	711	573.811	5.7588
160	ნთკჲდა	710	573.0039	5.7582
161	ნვკა	708	571.3898	5.7569
162	რომ	702	566.5475	5.7532
163	კაკრჲ	701	565.7405	5.7526
164	ოპვჱ	696	561.7053	5.7495
165	გთზ	692	558.4771	5.747
166	ნვქრჲ	689	556.0559	5.7451
166	ოა	689	556.0559	5.7451
167	ოყრ	678	547.1784	5.7381
168	ფრჲ	667	538.3009	5.731
169	კაჱაჳ	656	529.4233	5.7238
170	კაევ	653	527.0022	5.7218
171	ჟაკამ	628	506.826	5.7049
172	კაზვქ	620	500.3696	5.6993
173	თჟკა	612	493.9132	5.6937
174	ჲგჲ	610	492.2992	5.6922
175	ნვწ	609	491.4921	5.6915
175	ჟთრვ	609	491.4921	5.6915
175	ჱნავ	609	491.4921	5.6915
176	ოაკ	608	490.6851	5.6908
177	ჟყღჲ	605	488.2639	5.6887
178	ამთ	599	483.4216	5.6843
179	ეჲკარჲ	598	482.6146	5.6836
180	ბჲზვ	597	481.8075	5.6829
180	ეჲპთ	597	481.8075	5.6829
181	ოაპთ	592	477.7723	5.6792
182	ეპსდ	587	473.7371	5.6755
183	ამა	581	468.8948	5.6711
183	პვე	581	468.8948	5.6711
183	რაა	581	468.8948	5.6711
184	გთეწ	579	467.2807	5.6696
185	გჟვკთ	577	465.6666	5.6681
186	ჳჲპარა	575	464.0525	5.6666
187	გყგ	574	463.2454	5.6658
188	ეწგჲლთრვ	572	461.6313	5.6643
189	გთნადთ	571	460.8243	5.6635
190	ქრა	569	459.2102	5.662
191	ჟყპ	567	457.5961	5.6605
192	მწჟრჲ	565	455.982	5.6589
192	ჲნ	565	455.982	5.6589
193	ნთკჲი	563	454.3679	5.6574
194	ჱეპაგვი	561	452.7538	5.6559
195	ბთლჲ	556	448.7186	5.652
196	ბთევ	555	447.9115	5.6512
197	რპთ	553	446.2974	5.6496
198	აევ	545	439.841	5.6433
198	ეგვ	545	439.841	5.6433
198	ჱავენჲ	545	439.841	5.6433
199	რწჳ	543	438.2269	5.6417
200	ჱჲქრჲ	534	430.9635	5.6344
201	კჲწრჲ	528	426.1212	5.6295
202	კჲთ	526	424.5071	5.6279
202	ნვღა	526	424.5071	5.6279
202	ოჲჟლვ	526	424.5071	5.6279
203	ჱაპაეთ	524	422.893	5.6262
204	სრპვ	519	418.8578	5.6221
205	ენვჟ	516	416.4367	5.6195
205	მაიკა	516	416.4367	5.6195
206	ოჲე	505	407.5591	5.6102
207	ნაოპაგწ	497	401.1028	5.6033
208	გვფვპ	496	400.2957	5.6024
208	რშ	496	400.2957	5.6024
209	ზთგჲრა	495	399.4887	5.6015
210	ბთჳ	493	397.8746	5.5997
211	ოპჲბლვმ	486	392.2252	5.5935
212	ჟთდსპნჲ	485	391.4182	5.5926
212	რპწბგაქვ	485	391.4182	5.5926
213	ვლა	484	390.6111	5.5917
